cord_uid,display_name,title,license,publish_time,journal,relevance_score,works_count,cited_by_count,last_known_institution,research_field,institution_name,institution_relevance_score,country_code,type,institution_cited_by_count,institution_main_research_field
oluq7v0h,Erin Mehlhop,Development of a humanized monoclonal antibody with therapeutic potential against West Nile virus,no-cc,2005-04-24,Nat Med,1843.1584,14,1315,Washington University in St. Louis,Genetics,,,,,,
oluq7v0h,Anantha Marri,Development of a humanized monoclonal antibody with therapeutic potential against West Nile virus,no-cc,2005-04-24,Nat Med,1904.9188,6,1322,Washington University in St. Louis,Genetics,,,,,,
oluq7v0h,Daved H Fremont,Development of a humanized monoclonal antibody with therapeutic potential against West Nile virus,no-cc,2005-04-24,Nat Med,6525.522,257,13696,Washington University in St. Louis,Biology,,,,,,
oluq7v0h,Michael S Diamond,Development of a humanized monoclonal antibody with therapeutic potential against West Nile virus,no-cc,2005-04-24,Nat Med,6328.682,507,32111,Washington University in St. Louis,Biology,,,,,,
oluq7v0h,Michael S Diamond,Development of a humanized monoclonal antibody with therapeutic potential against West Nile virus,no-cc,2005-04-24,Nat Med,6328.6807,507,32111,Washington University in St. Louis,Biology,,,,,,
094d0rn6,Michael S Diamond,IPS-1 Is Essential for the Control of West Nile Virus Infection and Immunity,cc-by,2010-02-05,PLoS Pathog,6328.682,507,32111,Washington University in St. Louis,Biology,,,,,,
094d0rn6,Michael S Diamond,IPS-1 Is Essential for the Control of West Nile Virus Infection and Immunity,cc-by,2010-02-05,PLoS Pathog,6328.6807,507,32111,Washington University in St. Louis,Biology,,,,,,
6zrv687k,David W Strong,Immune Mechanisms Responsible for Vaccination against and Clearance of Mucosal and Lymphatic Norovirus Infection,cc-by,2008-12-12,PLoS Pathog,891.25714,5,607,Washington University in St. Louis,Genetics,,,,,,
3b8b8p61,Marco Colonna,A host type I interferon response is induced by cytosolic sensing of the bacterial second messenger cyclic-di-GMP,cc-by-nc-sa,2009-08-31,J Exp Med,8338.599,582,43318,Washington University in St. Louis,Biology,,,,,,
25v5mr3c,Neha Dubey,Mitigation Approaches to Combat the Flu Pandemic,cc-by,2009,J Glob Infect Dis,394.79166,5,87,Washington University in St. Louis,Genetics,,,,,,
m4sp9sjn,David T Curiel,HIV Antigen Incorporation within Adenovirus Hexon Hypervariable 2 for a Novel HIV Vaccine Approach,cc-by,2010-07-27,PLoS One,5388.2524,879,19148,Washington University in St. Louis,Biology,,,,,,
2b73a28n,Karen A Fagan,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respir Res,2578.1917,89,4295,University of South Alabama,Medicine,University of South Alabama,42759.277,US,education,761598,Biology
2b73a28n,Ivan F McMurtry,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respir Res,4158.1865,289,8570,University of South Alabama,Medicine,University of South Alabama,42759.277,US,education,761598,Biology
c8snsa4z,Meir Mizrahi,Relapsing macrophage activating syndrome in a 15-year-old girl with Still's disease: a case report,cc-by,2009-11-19,J Med Case Reports,1595.1493,151,1036,University of South Alabama,Medicine,University of South Alabama,42759.277,US,education,761598,Biology
2b73a28n,David M Rodman,Role of endothelin-1 in lung disease,no-cc,2001-02-22,Respir Res,2502.7717,110,4499,ProQR Therapeutics,Medicine,ProQR Therapeutics,5695.0933,NL,company,8347,Biology
9785vg6d,Joseph B Domachowske,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,3072.11,204,4243,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
9785vg6d,Joseph B Domachowske,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,3072.11,204,4243,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
87zt7lew,Joseph B Domachowske,Efficient replication of pneumonia virus of mice (PVM) in a mouse macrophage cell line,cc-by,2007-06-04,Virol J,3072.11,204,4243,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
87zt7lew,Joseph B Domachowske,Efficient replication of pneumonia virus of mice (PVM) in a mouse macrophage cell line,cc-by,2007-06-04,Virol J,3072.11,204,4243,SUNY Upstate Medical University,Medicine,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
9785vg6d,Cynthia A Bonville,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,2039.4022,65,1827,SUNY Upstate Medical University,Biology,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
9785vg6d,Cynthia A Bonville,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,2039.4022,65,1827,SUNY Upstate Medical University,Biology,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
87zt7lew,Cynthia A Bonville,Efficient replication of pneumonia virus of mice (PVM) in a mouse macrophage cell line,cc-by,2007-06-04,Virol J,2039.4022,65,1827,SUNY Upstate Medical University,Biology,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
87zt7lew,Cynthia A Bonville,Efficient replication of pneumonia virus of mice (PVM) in a mouse macrophage cell line,cc-by,2007-06-04,Virol J,2039.4022,65,1827,SUNY Upstate Medical University,Biology,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
6lezilfv,Vladimir A Kuznetsov,Host Gene Expression Profiling of Dengue Virus Infection in Cell Lines and Patients,cc-by,2007-11-21,PLoS Negl Trop Dis,3541.241,156,8590,SUNY Upstate Medical University,Biology,SUNY Upstate Medical University,66316.086,US,education,925378,Medicine
9785vg6d,Helene F Rosenberg,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,3704.8665,247,7912,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
9785vg6d,Helene F Rosenberg,Gene expression in epithelial cells in response to pneumovirus infection,no-cc,2001-05-11,Respir Res,3704.8665,247,7912,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
87zt7lew,Helene F Rosenberg,Efficient replication of pneumonia virus of mice (PVM) in a mouse macrophage cell line,cc-by,2007-06-04,Virol J,3704.8665,247,7912,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
87zt7lew,Helene F Rosenberg,Efficient replication of pneumonia virus of mice (PVM) in a mouse macrophage cell line,cc-by,2007-06-04,Virol J,3704.8665,247,7912,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
vefs1h6o,Kuan-Teh Jeang,Role of RNA helicases in HIV-1 replication,cc-by-nc,2006-08-25,Nucleic Acids Res,6346.807,335,11020,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
1y5nej0m,Peter B Jahrling,Neutralizing Antibody Fails to Impact the Course of Ebola Virus Infection in Monkeys,cc0,2007-01-19,PLoS Pathog,4046.7642,260,8368,National Institute of Allergy and Infectious Diseases,Medicine,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
87zt7lew,Kimberly D Dyer,Efficient replication of pneumonia virus of mice (PVM) in a mouse macrophage cell line,cc-by,2007-06-04,Virol J,2044.6654,75,2432,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
cpz8yb16,Yuhe Yan,Role of receptor polymorphism and glycosylation in syncytium induction and host range variation of ecotropic mouse gammaretroviruses,cc-by,2008-01-10,Retrovirology,549.4984,12,195,National Institute of Allergy and Infectious Diseases,Genetics,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
cpz8yb16,Christine A Kozak,Role of receptor polymorphism and glycosylation in syncytium induction and host range variation of ecotropic mouse gammaretroviruses,cc-by,2008-01-10,Retrovirology,4238.028,326,11843,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
eflxldnr,Christina M Cress,"La Crosse virus infectivity, pathogenesis, and immunogenicity in mice and monkeys",cc-by,2008-02-11,Virol J,281.82635,1,42,National Institute of Allergy and Infectious Diseases,Immune system,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
eflxldnr,Cai-Yen Firestone,"La Crosse virus infectivity, pathogenesis, and immunogenicity in mice and monkeys",cc-by,2008-02-11,Virol J,1871.8641,25,1353,National Institute of Allergy and Infectious Diseases,Genetics,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
eflxldnr,Stephen S Whitehead,"La Crosse virus infectivity, pathogenesis, and immunogenicity in mice and monkeys",cc-by,2008-02-11,Virol J,2703.1807,159,5220,National Institute of Allergy and Infectious Diseases,Medicine,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
pr9i9swk,Heinz Feldmann,Nasal Delivery of an Adenovirus-Based Vaccine Bypasses Pre-Existing Immunity to the Vaccine Carrier and Improves the Immune Response in Mice,cc-by,2008-10-29,PLoS One,5365.0884,530,16662,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
tfcerilc,Martha Nason,Multivalent HA DNA Vaccination Protects against Highly Pathogenic H5N1 Avian Influenza Infection in Chickens and Mice,cc0,2008-06-18,PLoS One,4822.679,134,11725,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
tfcerilc,Martha Nason,Multivalent HA DNA Vaccination Protects against Highly Pathogenic H5N1 Avian Influenza Infection in Chickens and Mice,cc0,2008-06-18,PLoS One,4822.679,134,11725,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
6wu024ng,Martha Nason,"Comparative Efficacy of Hemagglutinin, Nucleoprotein, and Matrix 2 Protein Gene-Based Vaccination against H5N1 Influenza in Mouse and Ferret",cc0,2010-03-23,PLoS One,4822.679,134,11725,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
6wu024ng,Martha Nason,"Comparative Efficacy of Hemagglutinin, Nucleoprotein, and Matrix 2 Protein Gene-Based Vaccination against H5N1 Influenza in Mouse and Ferret",cc0,2010-03-23,PLoS One,4822.679,134,11725,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
i55gwn3s,Celia Santos,Avian Influenza Virus Glycoproteins Restrict Virus Replication and Spread through Human Airway Epithelium at Temperatures of the Proximal Airways,cc0,2009-05-15,PLoS Pathog,1293.1283,21,1434,National Institute of Allergy and Infectious Diseases,Genetics,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
cai6tqxq,Elodie Ghedin,The early diversification of influenza A/H1N1pdm,cc-by,2009-11-12,PLoS Curr,5843.8022,230,12323,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
cai6tqxq,Kathleen Proudfoot,The early diversification of influenza A/H1N1pdm,cc-by,2009-11-12,PLoS Curr,846.1359,5,384,National Institute of Allergy and Infectious Diseases,Genetics,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
tkxpjlyn,Kristen M Guglielmi,Immunoglobulin Superfamily Virus Receptors and the Evolution of Adaptive Immunity,cc-by,2009-11-26,PLoS Pathog,931.74384,11,451,National Institute of Allergy and Infectious Diseases,Genetics,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
6wu024ng,J Patrick Gorres,"Comparative Efficacy of Hemagglutinin, Nucleoprotein, and Matrix 2 Protein Gene-Based Vaccination against H5N1 Influenza in Mouse and Ferret",cc0,2010-03-23,PLoS One,752.49133,9,276,National Institute of Allergy and Infectious Diseases,Medicine,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
,Venkat R K Yedavalli,,,,,1805.102,40,1997,National Institute of Allergy and Infectious Diseases,Genetics,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
,Ingrid Mm Schellens,,,,,275.9197,1,23,National Institute of Allergy and Infectious Diseases,Genetics,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
,Martha I Nelson,,,,,1892.6047,98,4176,National Institute of Allergy and Infectious Diseases,Biology,National Institute of Allergy and Infectious Diseases,139866.02,US,facility,4172519,Biology
zjufx4fo,Alexander O Pasternak,Sequence requirements for RNA strand transfer during nidovirus discontinuous subgenomic RNA synthesis,green-oa,2001-12-17,The EMBO Journal,1509.9038,59,1250,University of Amsterdam,Biology,University of Amsterdam,127150.69,NL,education,10323080,Biology
eiqypt0m,Joanne Verheij,Herpes simplex virus type 1 and normal protein permeability in the lungs of critically ill patients: a case for low pathogenicity?,no-cc,2004-03-31,Crit Care,3562.2024,252,5965,University of Amsterdam,Medicine,University of Amsterdam,127150.69,NL,education,10323080,Biology
zzkkm496,Hendrika Knoester,Outcome of paediatric intensive care survivors,no-cc,2007-09-07,Eur J Pediatr,577.16705,2,101,University of Amsterdam,Psychology,University of Amsterdam,127150.69,NL,education,10323080,Biology
ue9azoyf,Anita Hardon,Alternative medicines for AIDS in resource-poor settings: Insights from exploratory anthropological studies in Asia and Africa,cc-by,2008-07-10,J Ethnobiol Ethnomed,2506.2632,173,2657,University of Amsterdam,Medicine,University of Amsterdam,127150.69,NL,education,10323080,Biology
ue9azoyf,Anita Hardon,Alternative medicines for AIDS in resource-poor settings: Insights from exploratory anthropological studies in Asia and Africa,cc-by,2008-07-10,J Ethnobiol Ethnomed,2506.2632,173,2657,University of Amsterdam,Medicine,University of Amsterdam,127150.69,NL,education,10323080,Biology
6c3zb3g4,Anita Hardon,Health workers' views on quality of prevention of mother-to-child transmission and postnatal care for HIV-infected women and their children,cc-by,2009-05-13,Hum Resour Health,2506.2632,173,2657,University of Amsterdam,Medicine,University of Amsterdam,127150.69,NL,education,10323080,Biology
6c3zb3g4,Anita Hardon,Health workers' views on quality of prevention of mother-to-child transmission and postnatal care for HIV-infected women and their children,cc-by,2009-05-13,Hum Resour Health,2506.2632,173,2657,University of Amsterdam,Medicine,University of Amsterdam,127150.69,NL,education,10323080,Biology
1xgjdhkx,Lia van der Hoek,Rooting human parechovirus evolution in time,cc-by,2009-07-15,BMC Evol Biol,4091.3264,122,5910,University of Amsterdam,Biology,University of Amsterdam,127150.69,NL,education,10323080,Biology
kxtdv6q9,Ronald P J Oude-Elferink,Primary biliary cirrhosis,no-cc,2009-07-15,Semin Immunopathol,1207.2406,13,461,University of Amsterdam,Medicine,University of Amsterdam,127150.69,NL,education,10323080,Biology
kxtdv6q9,Ulrich Beuers,Primary biliary cirrhosis,no-cc,2009-07-15,Semin Immunopathol,5386.0044,460,11843,University of Amsterdam,Medicine,University of Amsterdam,127150.69,NL,education,10323080,Biology
z76vjkxg,Menno D de Jong,"Triple Combination of Amantadine, Ribavirin, and Oseltamivir Is Highly Active and Synergistic against Drug Resistant Influenza Virus Strains In Vitro",cc0,2010-02-22,PLoS One,3665.551,153,6746,University of Amsterdam,Medicine,University of Amsterdam,127150.69,NL,education,10323080,Biology
ip32y0j5,Caroline M M van Geelen,Generation of Human Antigen-Specific Monoclonal IgM Antibodies Using Vaccinated “Human Immune System” Mice,cc-by,2010-10-04,PLoS One,849.8731,5,282,University of Amsterdam,Genetics,University of Amsterdam,127150.69,NL,education,10323080,Biology
ip32y0j5,Hergen Spits,Generation of Human Antigen-Specific Monoclonal IgM Antibodies Using Vaccinated “Human Immune System” Mice,cc-by,2010-10-04,PLoS One,8469.481,291,20813,University of Amsterdam,Biology,University of Amsterdam,127150.69,NL,education,10323080,Biology
,Adam A Anas,,,,,421.9447,13,172,University of Amsterdam,Medicine,University of Amsterdam,127150.69,NL,education,10323080,Biology
zjufx4fo,Erwin van den Born,Sequence requirements for RNA strand transfer during nidovirus discontinuous subgenomic RNA synthesis,green-oa,2001-12-17,The EMBO Journal,1222.3196,17,525,MSD,Genetics,MSD,74646.14,US,company,4390830,Biology
zjufx4fo,Willy JM Spaan,Sequence requirements for RNA strand transfer during nidovirus discontinuous subgenomic RNA synthesis,green-oa,2001-12-17,The EMBO Journal,363.47806,1,42,Utrecht University,Open reading frame,Utrecht University,140209.66,NL,education,10393131,Biology
1n0rg5vd,Hans Heesterbeek,The Effectiveness of Contact Tracing in Emerging Epidemics,cc-by,2006-12-20,PLoS One,3193.4714,61,4939,Utrecht University,Biology,Utrecht University,140209.66,NL,education,10393131,Biology
1n0rg5vd,Hans Heesterbeek,The Effectiveness of Contact Tracing in Emerging Epidemics,cc-by,2006-12-20,PLoS One,3193.4714,61,4939,Utrecht University,Biology,Utrecht University,140209.66,NL,education,10393131,Biology
sasijnks,Hans Heesterbeek,Self-Interest versus Group-Interest in Antiviral Control,cc-by,2008-02-13,PLoS One,3193.4714,61,4939,Utrecht University,Biology,Utrecht University,140209.66,NL,education,10393131,Biology
sasijnks,Hans Heesterbeek,Self-Interest versus Group-Interest in Antiviral Control,cc-by,2008-02-13,PLoS One,3193.4714,61,4939,Utrecht University,Biology,Utrecht University,140209.66,NL,education,10393131,Biology
th0wddvc,Alan Rigter,A Single Immunization with Soluble Recombinant Trimeric Hemagglutinin Protects Chickens against Highly Pathogenic Avian Influenza Virus H5N1,cc-by,2010-05-14,PLoS One,1356.2955,24,892,Utrecht University,Genetics,Utrecht University,140209.66,NL,education,10393131,Biology
th0wddvc,Peter J M Rottier,A Single Immunization with Soluble Recombinant Trimeric Hemagglutinin Protects Chickens against Highly Pathogenic Avian Influenza Virus H5N1,cc-by,2010-05-14,PLoS One,4465.105,221,11383,Utrecht University,Biology,Utrecht University,140209.66,NL,education,10393131,Biology
,Can Keşmir,,,,,1907.2699,99,4966,Utrecht University,Biology,Utrecht University,140209.66,NL,education,10393131,Biology
zjufx4fo,Eric J Snijder,Sequence requirements for RNA strand transfer during nidovirus discontinuous subgenomic RNA synthesis,green-oa,2001-12-17,The EMBO Journal,5020.858,284,13583,Leiden University Medical Center,Biology,Leiden University Medical Center,126557.88,NL,healthcare,5565735,Medicine
1y5nej0m,Paul W H I Parren,Neutralizing Antibody Fails to Impact the Course of Ebola Virus Infection in Monkeys,cc0,2007-01-19,PLoS Pathog,5638.739,300,14042,Leiden University Medical Center,Biology,Leiden University Medical Center,126557.88,NL,healthcare,5565735,Medicine
ip32y0j5,Ferenc A Scheeren,Generation of Human Antigen-Specific Monoclonal IgM Antibodies Using Vaccinated “Human Immune System” Mice,cc-by,2010-10-04,PLoS One,3000.2573,58,3682,Leiden University Medical Center,Biology,Leiden University Medical Center,126557.88,NL,healthcare,5565735,Medicine
5yhe786e,Gonzalo Alvarez,Debate: Transfusing to normal haemoglobin levels will not improve outcome,no-cc,2001-03-08,Crit Care,2362.2483,196,4201,Instituto de Desarrollo Tecnológico para la Industria Química,Biology,,,,,,
5yhe786e,Paul C Hébert,Debate: Transfusing to normal haemoglobin levels will not improve outcome,no-cc,2001-03-08,Crit Care,5780.166,399,23118,University of Montreal,Medicine,University of Montreal,96603.63,CA,education,6029977,Biology
ipwm9uob,Karine Gendron,The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,cc-by-nc,2007-11-05,Nucleic Acids Res,674.3096,6,220,University of Montreal,Genetics,University of Montreal,96603.63,CA,education,6029977,Biology
ipwm9uob,Karine Gendron,The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,cc-by-nc,2007-11-05,Nucleic Acids Res,674.3096,6,220,University of Montreal,Genetics,University of Montreal,96603.63,CA,education,6029977,Biology
qtn3ukf4,Karine Gendron,The activity of the HIV-1 IRES is stimulated by oxidative stress and controlled by a negative regulatory element,cc-by-nc,2010-10-08,Nucleic Acids Res,674.3096,6,220,University of Montreal,Genetics,University of Montreal,96603.63,CA,education,6029977,Biology
qtn3ukf4,Karine Gendron,The activity of the HIV-1 IRES is stimulated by oxidative stress and controlled by a negative regulatory element,cc-by-nc,2010-10-08,Nucleic Acids Res,674.3096,6,220,University of Montreal,Genetics,University of Montreal,96603.63,CA,education,6029977,Biology
ipwm9uob,Johanie Charbonneau,The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,cc-by-nc,2007-11-05,Nucleic Acids Res,535.4913,5,92,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
ipwm9uob,Dominic Dulude,The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,cc-by-nc,2007-11-05,Nucleic Acids Res,1029.7462,15,414,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
ipwm9uob,Nikolaus Heveker,The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,cc-by-nc,2007-11-05,Nucleic Acids Res,3373.4087,71,3474,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
ipwm9uob,Nikolaus Heveker,The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,cc-by-nc,2007-11-05,Nucleic Acids Res,3373.4087,71,3474,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
qtn3ukf4,Nikolaus Heveker,The activity of the HIV-1 IRES is stimulated by oxidative stress and controlled by a negative regulatory element,cc-by-nc,2010-10-08,Nucleic Acids Res,3373.4087,71,3474,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
qtn3ukf4,Nikolaus Heveker,The activity of the HIV-1 IRES is stimulated by oxidative stress and controlled by a negative regulatory element,cc-by-nc,2010-10-08,Nucleic Acids Res,3373.4087,71,3474,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
ipwm9uob,Gerardo Ferbeyre,The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,cc-by-nc,2007-11-05,Nucleic Acids Res,4473.515,159,6761,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
ipwm9uob,Gerardo Ferbeyre,The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,cc-by-nc,2007-11-05,Nucleic Acids Res,4473.515,159,6761,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
qtn3ukf4,Gerardo Ferbeyre,The activity of the HIV-1 IRES is stimulated by oxidative stress and controlled by a negative regulatory element,cc-by-nc,2010-10-08,Nucleic Acids Res,4473.515,159,6761,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
qtn3ukf4,Gerardo Ferbeyre,The activity of the HIV-1 IRES is stimulated by oxidative stress and controlled by a negative regulatory element,cc-by-nc,2010-10-08,Nucleic Acids Res,4473.515,159,6761,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
ipwm9uob,Léa Brakier-Gingras,The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,cc-by-nc,2007-11-05,Nucleic Acids Res,2504.9473,79,1347,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
ipwm9uob,Léa Brakier-Gingras,The presence of the TAR RNA structure alters the programmed -1 ribosomal frameshift efficiency of the human immunodeficiency virus type 1 (HIV-1) by modifying the rate of translation initiation,cc-by-nc,2007-11-05,Nucleic Acids Res,2504.9473,79,1347,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
qtn3ukf4,Léa Brakier-Gingras,The activity of the HIV-1 IRES is stimulated by oxidative stress and controlled by a negative regulatory element,cc-by-nc,2010-10-08,Nucleic Acids Res,2504.9473,79,1347,University of Montreal,Biology,University of Montreal,96603.63,CA,education,6029977,Biology
